company,job,place,exp,salary,combined
"Vinod Stainless Steel                        
Actively hiring",E-commerce Executive,Mumbai,1 year(s),"₹ 3,60,000","e-commerce executive vinod stainless steel                        
actively hiring mumbai"
"Grandor Ceramico                        
Actively hiring",International Marketing Executive,Mumbai,0 year(s),"₹ 2,75,000 - 3,20,000","international marketing executive grandor ceramico                        
actively hiring mumbai"
"On Business India                        
Actively hiring",Associate Videographer,Faridabad,1 year(s),"₹ 3,00,000 - 4,80,000","associate videographer on business india                        
actively hiring faridabad"
"Fretus Folks India Private Limited                        
Actively hiring",Sales Executive,Bangalore,1 year(s),"₹ 2,00,000 - 3,50,000","sales executive fretus folks india private limited                        
actively hiring bangalore"
"PlanetSpark                        
Actively hiring",Business Development Associate,"Delhi, Gurgaon, Pune, Bangalore",0 year(s),"₹ 6,50,000 - 7,50,000","business development associate planetspark                        
actively hiring delhi, gurgaon, pune, bangalore"
"Hot Stuffs Private Limited                        
Actively hiring",Corporate Sales Executive,Mumbai,0 year(s),"₹ 3,00,000 - 4,80,000","corporate sales executive hot stuffs private limited                        
actively hiring mumbai"
"HelixOmics Analytics LLP.                        
Actively hiring",Sales Representative,Coimbatore                                                    (Hybrid),0 year(s),"₹ 3,50,000 - 4,00,000","sales representative helixomics analytics llp.                        
actively hiring coimbatore                                                    (hybrid)"
"K-FED INTERNATIONAL MARKETING PRIVATE LIMITED                        
Actively hiring",Corporate Sales Executive,Jaipur,0 year(s),"₹ 2,00,000 - 4,00,000","corporate sales executive k-fed international marketing private limited                        
actively hiring jaipur"
"Wynisco Inc                        
Actively hiring",Human Resources (HR) Executive,Pune,3 year(s),"₹ 5,00,000","human resources (hr) executive wynisco inc                        
actively hiring pune"
"CyberFrat                        
Actively hiring",Campus/Academic Coordinator,Bhubaneswar,1 year(s),"₹ 2,00,000 - 2,50,000","campus/academic coordinator cyberfrat                        
actively hiring bhubaneswar"
"Digilligent Marketing X Tech Solutions Private Limited                        
Actively hiring",Junior Social Media Marketing Manager,"Thane, Navi Mumbai, Kalyan, Mumbai",1 year(s),"₹ 2,00,000 - 2,20,000","junior social media marketing manager digilligent marketing x tech solutions private limited                        
actively hiring thane, navi mumbai, kalyan, mumbai"
"Pentableu                        
Actively hiring",Junior Motion Graphics Executive,Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000","junior motion graphics executive pentableu                        
actively hiring mumbai"
"Quantium Trading                        
Actively hiring",Software Developer,Gurgaon,1 year(s),"₹ 12,00,000 - 15,00,000","software developer quantium trading                        
actively hiring gurgaon"
"SAAR Advertising And Marketing                        
Actively hiring",Web Developer,Dehradun,1 year(s),"₹ 2,00,000 - 2,40,000","web developer saar advertising and marketing                        
actively hiring dehradun"
"Servall Automotive Private Limited                        
Actively hiring",Customer Relationship Manager,Bilimora,1 year(s),"₹ 2,50,000 - 3,00,000","customer relationship manager servall automotive private limited                        
actively hiring bilimora"
"Ease Of Doing Business                        
Actively hiring",Content Writer,Delhi,1 year(s),"₹ 2,00,000 - 3,00,000","content writer ease of doing business                        
actively hiring delhi"
"ExcelR Solutions                        
Actively hiring",Admin Executive,Pune,1 year(s),"₹ 2,40,000 - 3,60,000","admin executive excelr solutions                        
actively hiring pune"
"ExcelR Solutions                        
Actively hiring",Customer Support Executive,Bangalore,1 year(s),"₹ 2,40,000 - 3,00,000","customer support executive excelr solutions                        
actively hiring bangalore"
"Dr  Keyur Sharma                        
Actively hiring",Administration Manager,Navsari,1 year(s),"₹ 2,00,000 - 3,60,000","administration manager dr  keyur sharma                        
actively hiring navsari"
"Duolop Technologies Private Limited                        
Actively hiring",Video Editor,Noida,1 year(s),"₹ 2,10,000 - 3,00,000","video editor duolop technologies private limited                        
actively hiring noida"
"Dr  Keyur Sharma                        
Actively hiring",Optometrist,Navsari,1 year(s),"₹ 2,00,000 - 3,60,000","optometrist dr  keyur sharma                        
actively hiring navsari"
"Jasmeetha Nergi                        
Actively hiring",Customer Service Executive,Bangalore,0 year(s),"₹ 2,00,000 - 2,50,000","customer service executive jasmeetha nergi                        
actively hiring bangalore"
"Swissmote, Inc. (San Francisco, United States)                        
Actively hiring",Associate Full Stack Developer,Work from home,0 year(s),"₹ 6,00,000 - 8,00,000","associate full stack developer swissmote, inc. (san francisco, united states)                        
actively hiring work from home"
"Creatiwise                        
Actively hiring",Senior Graphic Designer,Work from home,1 year(s),"₹ 2,00,000 - 3,60,000","senior graphic designer creatiwise                        
actively hiring work from home"
"Yamuna Roadlines                        
Actively hiring",Accountant,"Surat, Navsari, Kamrej, Kadodara, Gujarat",0 year(s),"₹ 2,00,000","accountant yamuna roadlines                        
actively hiring surat, navsari, kamrej, kadodara, gujarat"
"Bonn Tonn                        
Actively hiring",Digital Marketing Manager,Kolkata,1 year(s),"₹ 2,00,000 - 2,16,000","digital marketing manager bonn tonn                        
actively hiring kolkata"
"Bonn Tonn                        
Actively hiring",Graphic Designer,Kolkata,1 year(s),"₹ 2,00,000 - 2,16,000","graphic designer bonn tonn                        
actively hiring kolkata"
"Swissmote, Inc. (San Francisco, United States)                        
Actively hiring",Project Manager,Work from home,1 year(s),"₹ 5,00,000 - 10,00,000","project manager swissmote, inc. (san francisco, united states)                        
actively hiring work from home"
"Inorbvict Healthcare India Private Limited                        
Actively hiring",Ware House Team Lead Executive,Pune,1 year(s),"₹ 3,00,000 - 4,00,000","ware house team lead executive inorbvict healthcare india private limited                        
actively hiring pune"
"Small Big Growth                        
Actively hiring",Junior Operations Manager,Mumbai,0 year(s),"₹ 2,00,000 - 2,40,000","junior operations manager small big growth                        
actively hiring mumbai"
"Educase India                        
Actively hiring",Junior Social Media Marketing Associate,Hyderabad,0 year(s),"₹ 3,00,000","junior social media marketing associate educase india                        
actively hiring hyderabad"
"PROFENAA TECHNOLOGIES                        
Actively hiring",Civil Design Engineer,Coimbatore,1 year(s),"₹ 2,00,000 - 3,00,000","civil design engineer profenaa technologies                        
actively hiring coimbatore"
"Saawariya Enterprise                        
Actively hiring",Junior Electrical Engineer,Mumbai,1 year(s),"₹ 2,40,000 - 3,00,000","junior electrical engineer saawariya enterprise                        
actively hiring mumbai"
"Crystal Hues Limited                        
Actively hiring",Account Manager (Sales) – Translation & Localization,Bangalore,0 year(s),"₹ 2,50,000 - 3,00,000","account manager (sales) – translation & localization crystal hues limited                        
actively hiring bangalore"
"Delhivery Private Limited                        
Actively hiring",Billing Operations Associate,Goa Velha,1 year(s),"₹ 3,50,000 - 4,50,000","billing operations associate delhivery private limited                        
actively hiring goa velha"
"Adisri Publications Private Limited                        
Actively hiring",Junior Accountant,"Faridabad, Delhi, Gurgaon, Greater Noida, Noida",1 year(s),"₹ 2,00,000 - 2,40,000","junior accountant adisri publications private limited                        
actively hiring faridabad, delhi, gurgaon, greater noida, noida"
"QuadB Tech                        
Actively hiring",Business Development Executive,Ludhiana,1 year(s),"₹ 3,00,000 - 5,00,000","business development executive quadb tech                        
actively hiring ludhiana"
"Graveiens Eduservices Private Limited                        
Actively hiring",Business Development Executive,"Gazipur, Bihar, Jammu, Uttar Pradesh, Jharkhand, Himachal Pradesh",0 year(s),"₹ 2,00,000 - 3,00,000","business development executive graveiens eduservices private limited                        
actively hiring gazipur, bihar, jammu, uttar pradesh, jharkhand, himachal pradesh"
"Voxturr Media                        
Actively hiring",Video Editor,Pune                                                    (Hybrid),1 year(s),"₹ 2,50,000 - 3,00,000","video editor voxturr media                        
actively hiring pune                                                    (hybrid)"
"Scizers Technologies LLP                        
Actively hiring",Senior Social Media Marketing Manager,Karnal,1 year(s),"₹ 2,00,000 - 3,60,000","senior social media marketing manager scizers technologies llp                        
actively hiring karnal"
"Mother's Pride Infrastructure Pvt Ltd                        
Actively hiring",Architect,Lucknow,1 year(s),"₹ 2,00,000","architect mother's pride infrastructure pvt ltd                        
actively hiring lucknow"
"Saroj Education Group                        
Actively hiring",Web Developer,"Delhi, Lucknow",1 year(s),"₹ 3,00,000 - 4,00,000","web developer saroj education group                        
actively hiring delhi, lucknow"
"Namakwali                        
Actively hiring",Domestic Sales Executive – Retail & Hospitality Outreach,Dehradun,1 year(s),"₹ 2,00,000 - 2,10,000","domestic sales executive – retail & hospitality outreach namakwali                        
actively hiring dehradun"
"Softsensor.ai                        
Actively hiring",Quality Analyst (Manual Testing),Jaipur,1 year(s),"₹ 2,00,000 - 3,50,000","quality analyst (manual testing) softsensor.ai                        
actively hiring jaipur"
"The Leaders Hive                        
Actively hiring",Analyst-Accounts,Ahmedabad,0 year(s),"₹ 3,60,000 - 4,50,000","analyst-accounts the leaders hive                        
actively hiring ahmedabad"
"Coalesce Eventz India Private Limited                        
Actively hiring",Graphic Designer,Mumbai,1 year(s),"₹ 3,00,000 - 3,60,000","graphic designer coalesce eventz india private limited                        
actively hiring mumbai"
"Mandap Bazaar                        
Actively hiring",Client Relationship Associate (International Market),Vasai                                                    (Hybrid),1 year(s),"₹ 2,40,000 - 3,00,000","client relationship associate (international market) mandap bazaar                        
actively hiring vasai                                                    (hybrid)"
"10xTechClub                        
Actively hiring",Program Facilitator & Research Analyst – Embedded Systems & Robotics,Pune,0 year(s),"₹ 2,40,000","program facilitator & research analyst – embedded systems & robotics 10xtechclub                        
actively hiring pune"
"Croda India                        
Actively hiring",Engineer Associate,"Navi Mumbai, Mumbai, Vashi",0 year(s),"₹ 2,00,000 - 2,16,000","engineer associate croda india                        
actively hiring navi mumbai, mumbai, vashi"
"Vystrit Designs                        
Actively hiring",Sales Executive - Experience Centre,Bangalore,1 year(s),"₹ 3,00,000 - 5,00,000","sales executive - experience centre vystrit designs                        
actively hiring bangalore"
"CyberFrat                        
Actively hiring",Event Management Specialist,Mumbai,1 year(s),"₹ 3,50,000 - 5,50,000","event management specialist cyberfrat                        
actively hiring mumbai"
"The Trading Fox                        
Actively hiring",Customer Service Executive,Jaipur,0 year(s),"₹ 2,00,000 - 2,25,000","customer service executive the trading fox                        
actively hiring jaipur"
"Krishna Consultants                        
Actively hiring",Graphic Designer,"Hyderabad, Telangana",1 year(s),"₹ 2,00,000 - 2,50,000","graphic designer krishna consultants                        
actively hiring hyderabad, telangana"
"Krishna Consultants                        
Actively hiring",Field Sales Executive,"Hyderabad, Telangana",1 year(s),"₹ 2,00,000 - 2,50,000","field sales executive krishna consultants                        
actively hiring hyderabad, telangana"
"A2M Technology                        
Actively hiring",IT Field Sales Executive,Bangalore,0 year(s),"₹ 3,60,000 - 5,00,000","it field sales executive a2m technology                        
actively hiring bangalore"
"Aman Batra                        
Actively hiring","Audit, Tax And Accounts Manager",Delhi,1 year(s),"₹ 2,00,000 - 3,00,000","audit, tax and accounts manager aman batra                        
actively hiring delhi"
"Krishna Consultants                        
Actively hiring",Digital Marketing Executive,"Hyderabad, Telangana",1 year(s),"₹ 2,00,000 - 2,50,000","digital marketing executive krishna consultants                        
actively hiring hyderabad, telangana"
"UniAcco                        
Actively hiring",Business Development Executive,"Delhi, Bangalore, Hyderabad",0 year(s),"₹ 3,00,000 - 3,60,000","business development executive uniacco                        
actively hiring delhi, bangalore, hyderabad"
"Aditya Vastu Studio                        
Actively hiring",Administration Manager,Pune,1 year(s),"₹ 2,60,000 - 3,00,000","administration manager aditya vastu studio                        
actively hiring pune"
"Krishna Consultants                        
Actively hiring",Associate Telecaller,"Hyderabad, Telangana",0 year(s),"₹ 2,00,000 - 2,50,000","associate telecaller krishna consultants                        
actively hiring hyderabad, telangana"
"Fair Book Deals                        
Actively hiring",Digital Marketing Manager,Noida                                                    (Hybrid),1 year(s),"₹ 2,40,000 - 5,00,000","digital marketing manager fair book deals                        
actively hiring noida                                                    (hybrid)"
"Saroj Education Group                        
Actively hiring",Graphic Designer,Delhi,1 year(s),"₹ 2,00,000 - 3,00,000","graphic designer saroj education group                        
actively hiring delhi"
"Krishna Consultants                        
Actively hiring",Data Entry Executive,"Hyderabad, Telangana",0 year(s),"₹ 2,00,000 - 2,50,000","data entry executive krishna consultants                        
actively hiring hyderabad, telangana"
"Teach Maven                        
Actively hiring",Business Development Trainee,Bangalore,0 year(s),"₹ 4,00,000 - 7,00,000","business development trainee teach maven                        
actively hiring bangalore"
"Klicksurge                        
Actively hiring",Content Writer,"Ghaziabad, Gurgaon, Meerut, Greater Noida, Noida",1 year(s),"₹ 2,00,000 - 3,00,000","content writer klicksurge                        
actively hiring ghaziabad, gurgaon, meerut, greater noida, noida"
"Graveiens Eduservices Private Limited                        
Actively hiring",Talent Acquisition Executive,"Delhi, Noida",1 year(s),"₹ 2,00,000 - 3,00,000","talent acquisition executive graveiens eduservices private limited                        
actively hiring delhi, noida"
"Graveiens Eduservices Private Limited                        
Actively hiring",Technical Recruiter,"Delhi, Noida",1 year(s),"₹ 2,00,000 - 3,00,000","technical recruiter graveiens eduservices private limited                        
actively hiring delhi, noida"
"CodeVyasa                        
Actively hiring",Business Development Manager,Noida,0 year(s),"₹ 3,00,000 - 6,00,000","business development manager codevyasa                        
actively hiring noida"
"Acadmus                        
Actively hiring",Business Development Associate,Meerut,0 year(s),"₹ 2,00,000 - 4,00,000","business development associate acadmus                        
actively hiring meerut"
"Tyche Jobs Executive Search Consultants                        
Actively hiring",Business Research Associate,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000","business research associate tyche jobs executive search consultants                        
actively hiring gurgaon"
"Graveiens Eduservices Private Limited                        
Actively hiring",Project Coordinator,"Delhi, Noida",0 year(s),"₹ 2,00,000 - 3,00,000","project coordinator graveiens eduservices private limited                        
actively hiring delhi, noida"
"InstaAstro                        
Actively hiring",Video Editor,Noida,1 year(s),"₹ 2,50,000 - 4,00,000","video editor instaastro                        
actively hiring noida"
"InstaAstro                        
Actively hiring",Graphic Designer,Noida,1 year(s),"₹ 2,50,000 - 4,00,000","graphic designer instaastro                        
actively hiring noida"
"Vicharak Computers LLP                        
Actively hiring",Embedded Hardware Developer,Surat,0 year(s),"₹ 3,50,000 - 7,00,000","embedded hardware developer vicharak computers llp                        
actively hiring surat"
"Lakavish Nutratech Pvt. Ltd                        
Actively hiring",Video Editor,Mumbai,1 year(s),"₹ 3,00,000 - 3,60,000","video editor lakavish nutratech pvt. ltd                        
actively hiring mumbai"
"Graveiens Eduservices Private Limited                        
Actively hiring",Junior Recruiter,Noida,0 year(s),"₹ 2,00,000 - 2,40,000","junior recruiter graveiens eduservices private limited                        
actively hiring noida"
"Saroj Education Group                        
Actively hiring",Marketing Executive (Mumbai),Mumbai,0 year(s),"₹ 2,50,000 - 4,00,000","marketing executive (mumbai) saroj education group                        
actively hiring mumbai"
"Paisabazaar                        
Actively hiring",Customer Service Associate (Day Shift - Gurgaon),Gurgaon,0 year(s),"₹ 2,40,000 - 3,30,000","customer service associate (day shift - gurgaon) paisabazaar                        
actively hiring gurgaon"
"RK Ceramics                        
Actively hiring",Field Sales Executive,Mumbai,1 year(s),"₹ 3,00,000 - 3,60,000","field sales executive rk ceramics                        
actively hiring mumbai"
"Perfect Digitals                        
Actively hiring",Business Development Executive,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000","business development executive perfect digitals                        
actively hiring gurgaon"
"WeMakeScholars                        
Actively hiring",Academic Advisor,"Hyderabad, Telangana, Andhra Pradesh",0 year(s),"₹ 4,30,000 - 4,54,000","academic advisor wemakescholars                        
actively hiring hyderabad, telangana, andhra pradesh"
"Acadmus                        
Actively hiring",Business Development Associate,Greater Noida,0 year(s),"₹ 3,00,000 - 5,50,000","business development associate acadmus                        
actively hiring greater noida"
"Cosmos Staffing Solutions                        
Actively hiring",Associate Telecaller,Noida,1 year(s),"₹ 3,50,000 - 4,50,000","associate telecaller cosmos staffing solutions                        
actively hiring noida"
"Born High Digital                        
Actively hiring",Associate Graphic Designer,Delhi,0 year(s),"₹ 3,00,000 - 4,00,000","associate graphic designer born high digital                        
actively hiring delhi"
"Gigde Global Solutions Private Limited                        
Actively hiring",Associate Content Writer,"Ghaziabad, Noida                                                    (Hybrid)",1 year(s),"₹ 2,00,000 - 2,50,000","associate content writer gigde global solutions private limited                        
actively hiring ghaziabad, noida                                                    (hybrid)"
"Teach Maven                        
Actively hiring",Sales Specialist,Bangalore,0 year(s),"₹ 4,00,000 - 7,00,000","sales specialist teach maven                        
actively hiring bangalore"
"Edutitan Venture Private Limited                        
Actively hiring",HR - Early Talent Acquisition,Noida,0 year(s),"₹ 2,00,000 - 3,00,000","hr - early talent acquisition edutitan venture private limited                        
actively hiring noida"
"CloudBird Digital Private Limited                        
Actively hiring",Junior Recruiter,Noida,0 year(s),"₹ 2,00,000","junior recruiter cloudbird digital private limited                        
actively hiring noida"
"Indian Robotics Solution                        
Actively hiring",Warehouse Associate,Noida,0 year(s),"₹ 2,00,000 - 2,01,000","warehouse associate indian robotics solution                        
actively hiring noida"
